ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4300529,66.0,15.0,1.0,82.0,14.0,15.0,0.17073,5
4279766,87.0,11.0,69.0,167.0,-58.0,0.15942,-0.34731,1
4382219,93.0,57.0,10.0,160.0,47.0,5.7,0.29375,7
4258678,79.0,35.0,6.0,120.0,29.0,5.83333,0.24167,6
4485555,95.0,5.0,50.0,150.0,-45.0,0.1,-0.3,1
4462545,39.0,17.0,0.0,56.0,17.0,inf,0.30357,8
4442083,36.0,42.0,6.0,84.0,36.0,7.0,0.42857,10
4323634,40.0,17.0,1.0,58.0,16.0,17.0,0.27586,7
4405059,112.0,71.0,1.0,184.0,70.0,71.0,0.38043,9
4504050,60.0,52.0,2.0,114.0,50.0,26.0,0.4386,10
4361903,86.0,77.0,16.0,179.0,61.0,4.8125,0.34078,8
4431752,35.0,58.0,10.0,103.0,48.0,5.8,0.46602,10
4392857,26.0,37.0,1.0,64.0,36.0,37.0,0.5625,10
4514715,27.0,47.0,5.0,79.0,42.0,9.4,0.53165,10
4267311,25.0,34.0,4.0,63.0,30.0,8.5,0.47619,10
4414914,40.0,49.0,9.0,98.0,40.0,5.44444,0.40816,9
4288767,35.0,52.0,3.0,90.0,49.0,17.33333,0.54444,10
4473064,24.0,35.0,4.0,63.0,31.0,8.75,0.49206,10
4331583,25.0,45.0,4.0,74.0,41.0,11.25,0.55405,10
4310839,33.0,52.0,2.0,87.0,50.0,26.0,0.57471,10
4371222,28.0,17.0,1.0,46.0,16.0,17.0,0.34783,8
4496236,30.0,7.0,29.0,66.0,-22.0,0.24138,-0.33333,1
4452040,32.0,40.0,12.0,84.0,28.0,3.33333,0.33333,8
4350640,39.0,46.0,2.0,87.0,44.0,23.0,0.50575,10
4442921,61.0,44.0,4.0,109.0,40.0,11.0,0.36697,9
4279329,39.0,32.0,6.0,77.0,26.0,5.33333,0.33766,8
4462249,25.0,2.0,27.0,54.0,-25.0,0.07407,-0.46296,1
4422758,68.0,43.0,7.0,118.0,36.0,6.14286,0.30508,8
4405573,43.0,34.0,4.0,81.0,30.0,8.5,0.37037,9
4344482,47.0,51.0,7.0,105.0,44.0,7.28571,0.41905,9
4300195,51.0,36.0,5.0,92.0,31.0,7.2,0.33696,8
4324176,50.0,38.0,2.0,90.0,36.0,19.0,0.4,9
4362706,43.0,45.0,4.0,92.0,41.0,11.25,0.44565,10
4504903,44.0,26.0,5.0,75.0,21.0,5.2,0.28,7
4488199,43.0,2.0,24.0,69.0,-22.0,0.08333,-0.31884,1
4257006,40.0,17.0,4.0,61.0,13.0,4.25,0.21311,6
4382968,36.0,13.0,0.0,49.0,13.0,inf,0.26531,7
4278316,84.0,13.0,20.0,117.0,-7.0,0.65,-0.05983,2
4484579,104.0,9.0,32.0,145.0,-23.0,0.28125,-0.15862,1
4383399,67.0,18.0,23.0,108.0,-5.0,0.78261,-0.0463,2
4259825,66.0,36.0,8.0,110.0,28.0,4.5,0.25455,7
4320721,78.0,14.0,17.0,109.0,-3.0,0.82353,-0.02752,2
4443346,97.0,10.0,38.0,145.0,-28.0,0.26316,-0.1931,1
4363301,79.0,16.0,21.0,116.0,-5.0,0.7619,-0.0431,2
4423235,68.0,28.0,9.0,105.0,19.0,3.11111,0.18095,5
4404034,63.0,20.0,4.0,87.0,16.0,5.0,0.18391,5
4463754,59.0,18.0,8.0,85.0,10.0,2.25,0.11765,3
4505388,103.0,31.0,10.0,144.0,21.0,3.1,0.14583,4
4345136,99.0,31.0,11.0,141.0,20.0,2.81818,0.14184,4
4301678,95.0,36.0,21.0,152.0,15.0,1.71429,0.09868,3
4445195,95.0,4.0,61.0,160.0,-57.0,0.06557,-0.35625,1
4304803,51.0,24.0,1.0,76.0,23.0,24.0,0.30263,8
4465203,69.0,5.0,46.0,120.0,-41.0,0.1087,-0.34167,1
4365675,9.0,7.0,0.0,16.0,7.0,inf,0.4375,10
4345680,56.0,14.0,2.0,72.0,12.0,7.0,0.16667,5
4426089,63.0,54.0,1.0,118.0,53.0,54.0,0.44915,10
4321806,49.0,18.0,1.0,68.0,17.0,18.0,0.25,6
4260254,47.0,18.0,0.0,65.0,18.0,inf,0.27692,7
4404801,63.0,44.0,6.0,113.0,38.0,7.33333,0.33628,8
4279309,35.0,16.0,1.0,52.0,15.0,16.0,0.28846,7
4386760,44.0,29.0,2.0,75.0,27.0,14.5,0.36,9
4485708,75.0,52.0,1.0,128.0,51.0,52.0,0.39844,9
4507049,39.0,28.0,0.0,67.0,28.0,inf,0.41791,9
4501965,62.0,13.0,1.0,76.0,12.0,13.0,0.15789,4
4296861,64.0,3.0,21.0,88.0,-18.0,0.14286,-0.20455,1
4275572,62.0,11.0,2.0,75.0,9.0,5.5,0.12,3
4338042,57.0,9.0,1.0,67.0,8.0,9.0,0.1194,3
4399984,57.0,9.0,7.0,73.0,2.0,1.28571,0.0274,2
4419494,90.0,26.0,9.0,125.0,17.0,2.88889,0.136,4
4358685,109.0,24.0,9.0,142.0,15.0,2.66667,0.10563,3
4460641,53.0,28.0,6.0,87.0,22.0,4.66667,0.25287,6
4255002,60.0,25.0,9.0,94.0,16.0,2.77778,0.17021,5
4480173,111.0,28.0,12.0,151.0,16.0,2.33333,0.10596,3
4317441,51.0,16.0,3.0,70.0,13.0,5.33333,0.18571,5
4439385,53.0,33.0,3.0,89.0,30.0,11.0,0.33708,8
4379483,90.0,45.0,21.0,156.0,24.0,2.14286,0.15385,4
4378855,25.0,28.0,2.0,55.0,26.0,14.0,0.47273,10
4439214,27.0,41.0,1.0,69.0,40.0,41.0,0.57971,10
4317087,26.0,17.0,2.0,45.0,15.0,8.5,0.33333,8
4501204,27.0,25.0,2.0,54.0,23.0,12.5,0.42593,10
4398979,15.0,24.0,0.0,39.0,24.0,inf,0.61538,10
4359137,27.0,42.0,2.0,71.0,40.0,21.0,0.56338,10
4254752,40.0,29.0,5.0,74.0,24.0,5.8,0.32432,8
4296600,37.0,27.0,1.0,65.0,26.0,27.0,0.4,9
4459701,31.0,24.0,2.0,57.0,22.0,12.0,0.38596,9
4419244,35.0,18.0,0.0,53.0,18.0,inf,0.33962,8
4338041,31.0,11.0,2.0,44.0,9.0,5.5,0.20455,6
4276063,24.0,31.0,2.0,57.0,29.0,15.5,0.50877,10
4479724,14.0,9.0,0.0,23.0,9.0,inf,0.3913,9
4503460,41.0,45.0,0.0,86.0,45.0,inf,0.52326,10
4489188,50.0,43.0,4.0,97.0,39.0,10.75,0.40206,9
4338676,62.0,36.0,12.0,110.0,24.0,3.0,0.21818,6
4323690,55.0,32.0,1.0,88.0,31.0,32.0,0.35227,9
4379885,61.0,36.0,2.0,99.0,34.0,18.0,0.34343,8
4297737,66.0,36.0,4.0,106.0,32.0,9.0,0.30189,8
4441526,30.0,35.0,6.0,71.0,29.0,5.83333,0.40845,9
4255818,24.0,22.0,2.0,48.0,20.0,11.0,0.41667,9
4359506,46.0,4.0,18.0,68.0,-14.0,0.22222,-0.20588,1
4421427,54.0,28.0,9.0,91.0,19.0,3.11111,0.20879,6
4276569,61.0,28.0,6.0,95.0,22.0,4.66667,0.23158,6
4408091,36.0,28.0,2.0,66.0,26.0,14.0,0.39394,9
4461926,52.0,32.0,4.0,88.0,28.0,8.0,0.31818,8
4365572,76.0,13.0,2.0,91.0,11.0,6.5,0.12088,3
4385646,61.0,21.0,2.0,84.0,19.0,10.5,0.22619,6
4506508,69.0,17.0,1.0,87.0,16.0,17.0,0.18391,5
4281890,35.0,23.0,4.0,62.0,19.0,5.75,0.30645,8
4444614,47.0,21.0,2.0,70.0,19.0,10.5,0.27143,7
4424357,58.0,3.0,13.0,74.0,-10.0,0.23077,-0.13514,2
4302952,29.0,5.0,16.0,50.0,-11.0,0.3125,-0.22,1
4489208,54.0,16.0,6.0,76.0,10.0,2.66667,0.13158,4
4260028,33.0,10.0,3.0,46.0,7.0,3.33333,0.15217,4
4464719,66.0,17.0,3.0,86.0,14.0,5.66667,0.16279,5
4409232,71.0,18.0,2.0,91.0,16.0,9.0,0.17582,5
4327174,37.0,15.0,4.0,56.0,11.0,3.75,0.19643,5
4346324,32.0,13.0,1.0,46.0,12.0,13.0,0.26087,7
4360233,35.0,18.0,5.0,58.0,13.0,3.6,0.22414,6
4504519,81.0,37.0,1.0,119.0,36.0,37.0,0.30252,8
4480590,55.0,22.0,3.0,80.0,19.0,7.33333,0.2375,6
